linid;category;rate;installs
38549d83f16bf718ffc2cdf3ac0a542f2a062d612255989fc3434b78e94578f0;Puzzle;4.5;100,000+
d67a1f71613ec74c44aa51b2c2f45dcd1f5311a4f31a405571d5986f951c5d4f;Productivity;4.4;1,000,000+
7ea3b085cc217ed66ef4359f43970257401fcf484abbd563de2a17703ab4c95f;Dating;4.5;5,000,000+
b7af2c820fef7217f97e33c2c1dd22be2f3aea34449dd200373bbaf57557bea7;Books & Reference;4.5;100,000+
740e7e8ed639b7343c8e73d16b777b6efd71e15462cd25f1bdd7ea86f4fb792a;Action;4.2;50,000,000+
feaae8c05290ec41aaa2494d6e397c9f254ac052744c02fce61cde6c9c66646e;Shopping;4.3;10,000,000+
da265d38e5f021c0b1ec2af0bd60a402274794282f030c88b27b06dbf50635e8;Casual;4.3;500,000+
61633a0c4a57b694ee32243972ebbc7d7aa2397517e9d9791f331d2ff446f5c4;Educational;4.6;500,000+
2fd1a145b1352a1723cf0ce58f25d583f8ffea009b1488b8d8d1e794c2e31fd6;Video Players & Editors;3.6;500,000+
f8d8feb22b4e63b8d04ac85cb88e4b3bcaa24491fc5f53990af2bc96d83a00f5;Puzzle;4.4;500,000+
d77471d0347720aee18bea56490403dfd69998e3f10b6c2e7f8e79853dafbf79;Word;4.4;100,000+
d59a655e89454d86a4ad0dfb999161269f6b7f77eae4192ba6606691f2fb57e3;Social;4.2;10,000,000+
9ee66df51d7bd7432d8d2ca22886cb1e374014adeae97c84e587e48b125508df;Shopping;4.5;1,000,000+
8bb011be4079bb6b2e75ffc7929fe7024a9830289f13fd3215fce5ae2773d4e4;Finance;4.6;500,000+
820ce1b9e4d19a74538c99e7a4fdb9cfb59594557c6c8ee60f8d733e8a55d41f;Education;4.3;500,000+
374e9f73af84f49079bf9507544b1ca1546ef0dff76844a024621ca68899a5bd;News & Magazines;3.7;100,000+
f6108273258aa5488510f8ba5decd9451fbb6eaaeb4b39ec144456c948bb2c2d;Racing;4.1;1,000,000+
bdc331ef22d423ad570950c628434c49e459ad39defe92a726e1cee448e39463;Finance;4.5;100,000+
8ccda4ff5be6d7110d402620ac24016cbd8b751394d95a93dfb3a187cd9f4bf0;Music & Audio;4.1;1,000,000+
354644eb864e70938b5e185d2d16cf1a3b9559bad26d7a8ba0a3d90b85ae2654;Health & Fitness;4.1;5,000+
cdab5cf56e586c4d3bfdca9e8ebbd15f470cb10461a6df04c8ea45be27148ad8;Finance;4.1;500,000+
a977385e34f47e3227afbed038fa74e9cad692f9b3e8e892c96321e9aec17e27;Casino;4.4;10,000,000+
d5478a1a3bc1efba9267d1040055a2eb4bfdeaca26eacb0361357bc4e27d67c4;Communication;4.1;1,000,000+
31cd84ad6f5254d6ae8e4809c6897c8ec64f51e056a63c0664984af640bda859;Business;4.0;500,000+
6191efa78288a90376d5c3d5e2dc3115a67830081b41e945183969e9bb1dcf95;Role Playing;4.0;1,000,000+
3b7f8d7de25cdd78e2430686562d41f82447b090fc1f5b280d131205311b0d35;Social;4.4;10,000,000+
70f942f13a628b4c514c34571a7d56f1a30ec3205edb81fe1943f4667c0e5743;Business;4.5;1,000,000+
a87ad5ffe0450888895ae8cc15093a407b1b94d274d486330f4f09c1aa1bf4fc;Tools;4.1;10,000,000+
08123d8ce8a5862e595c497a5028ba5893afde0c315f5e02a69c11b927f7f96d;Books & Reference;4.5;100,000+
811afe670f6c012d6b32f47560fcef2703cc5ab2d7609ed7f2fd018f6bf8a70e;Travel & Local;4.5;500,000+
ff5134932220b69a5c0fd7bafe90672af7aa73f50a09d895a43718fc91ff7998;Tools;4.5;100,000,000+
ceda907d0968c1defdc551934af96120a4de63e351462891dc560bb9316272d4;Health & Fitness;4.2;10,000,000+
22fce6a44f416fe69d44c47ff2ed8d5a1c44c6179c0ce1e4c001c4d2eb56cfa5;Books & Reference;4.0;500,000+
ad7c0d61c2fc7da9dae7cc807083722f94306dc0f077e9174029e651d8ad2534;Business;4.5;10,000+
98bf3ed9bb26d4be1cdce86484ded31c6625abe41dd8d590af4514be364404fa;Food & Drink;4.4;500,000+
bb196ff3f8b0d3bbd862b0839877a345df88a58fd3a8a93f0703bfcafe490bf5;Medical;4.5;5,000,000+
e6d3466ce2b3551c9941c0f02170058a6967a14ec1a065ce9d0bb4eb23a64743;Education;4.1;100,000+
6a8e83b2df6287294ebe8e9c1c8192096b8b5e1f25b1f0b26ad550aba6405aa4;Finance;4.1;500,000+
de3068a01581394ec72c6f11ae93d4a428c5a8768f2d71bb8a5ca1323a5e852c;Tools;4.5;50,000,000+
49e159311843a1d33f7a24af810cead5152d3b6c4a47a02628ddd23cb8237565;Education;4.2;1,000,000+
1a96de7f564b7f161b9c35aa1b34936c6d6d3f7ac9b641d27c9625d55d4fd3b3;Travel & Local;4.0;1,000,000+
5c0b61646d33257993b157c37f62787be3f769e6692116088ab95cdaf9c6723b;Word;4.2;100,000+
208c779d17325572ab37a3374161983b8d3ddb51a5df95ef5dc452df288d1c68;Shopping;4.7;1,000,000+
b4b0aa5fb9f43bb6aa7a00c82f7603781afb59748a507716d29c1374a1286847;Personalization;4.2;10,000,000+
64c14bc5239c7ee2529c70b79e4f421d9698c65d868fd90e1f1b89e23bc0c041;Social;4.8;1,000,000+
80613504be6cbf14a51ac70878851b25e821d3956e210fedad3253eb3d64d5c1;Personalization;4.4;10,000+
d469d48dcefbfc62bdb4c16f5dcc37d81db5818fcf945b9744f2f163060a8292;Social;4.3;500,000+
244dc26fc33d9eac639449a821b6e40756f9b30de4390840a2049ad0b5b7ed82;Lifestyle;4.7;500,000+
9ba890eda7af826055545b2dd4b2719e7fa0cf74145f690385f0b4fd7c8dafbe;Video Players & Editors;3.8;1,000,000+
c530bbf4abd989a1a020a66c67d0e84394a6bd187a1685799826e49b0aa5e66f;Sports;4.5;500,000+
a1c35ada23cd40d12ecc67b5619c193b3d14d074ef6e24b6e0fdf43bdc32a54f;Sports;4.0;100,000+
f976af0a1eea0e5d1168c316d9e07a88db9082faee1e2e6ca7f26f3d807ee637;Social;4.3;1,000,000+
65ac8cc65d0ade8d8383b59a7a668367362478df864fa1f9e0717a4ba07bf210;Travel & Local;3.5;10,000+
8c1af0ccd62d181537785efc3912ea4c68ce4c45c60777401892c8651b71d7c9;Business;4.0;500+
3e9a2c6ac3ea62846d5354f729c31a816e2a7a2458e7f721dbddd27f53b92589;Productivity;4.6;1,000,000+
34cda378aa24ff439ba463e06ff8cbc472abdf243d65741d7cea71cbf81d78e2;Photography;4.7;5,000,000+
66453373cb4276264a2e7e9a07fa65d224bcc394192534af84cc43df0f9f91eb;Finance;4.0;10,000+
1305d61266e96421bf265092d87c3507d2d1d6b566d63fc9cb1f4eb209d169ee;Music & Audio;4.4;100,000+
6a959d85a74f2ba68b8dfb1ea4820093885a93f89ee8fa012fce7346ef3326e4;Education;4.5;10,000+
c41372c08c000dc67746dce8692476bccab1639b59da903eea609c7bef1cca5e;Sports;4.1;50,000+
1f6d484813a5c9a5335b33d6b3652c5ea7dc1ab52da7a8f13b56405bfd803d82;Travel & Local;4.3;5,000+
25f572635f994430d29e8345d1ad02f12e01de992c7fcf5dd94130b10d765b06;Medical;3.9;100,000+
ce737cda7883bfd36e2a613a9489737b9bae1681a45b5b19b415d1d9c8d0f3d0;Photography;4.2;500,000+
d73186ef7d67340b96c9c9c05fab172286fd1810541643d941a088428e0fd7d8;Health & Fitness;3.3;10,000+
bc8aafd28aaa8916f2cc397c11b0d379b7407b0aee089eaf11d1136a10c39648;Communication;4.4;5,000,000+
0123782eea08f9a2460935bddaf00e180b349eb3b6a1882bc39c9012ed24e4a1;Arcade;4.6;5,000,000+
7f51f50b7e732a46cd8af4ee55af4b6d5deb0c5d14c48840047bc7d5193677c1;Communication;4.4;1,000,000,000+
30bd3abecc1ad06b92284918320117778c4c5ebc69821e31ea1076234d0d028f;Productivity;4.5;100,000+
82364bdae8467d25ffeea54edacf851b17e6aeeabe08d26f83894fbe8fe90a86;Board;4.2;1,000,000+
2921b50c6a191cbfa92c29cd0bda5c7a5d0e530228b049a42a9ecf5d1bb9d0a5;Lifestyle;4.3;1,000+
